Season,Building type,Cooling startegy_building level,Climate,Thermal sensation,Koppen climate classification,Clo,Met,Thermal preference,Relative humidity,Air velocity,Country,Air temperature
3,2,2,12,1.0,2,0.62,1.0,1,51.0,0.11,6,26.3
3,2,2,12,1.0,2,0.62,1.0,0,51.0,0.11,6,26.3
3,2,2,12,-1.0,2,0.62,1.0,0,51.0,0.11,6,26.3
3,2,2,12,0.0,2,0.62,1.0,0,51.0,0.11,6,26.3
3,2,2,12,-1.0,2,0.62,1.0,2,51.0,0.11,6,26.3
3,2,2,12,0.0,2,0.62,1.0,0,56.0,0.6,6,26.2
3,2,2,12,0.0,2,0.68,1.0,1,56.0,0.6,6,26.2
3,2,2,12,2.0,2,0.62,1.0,1,56.0,0.6,6,26.2
3,2,2,12,2.0,2,0.62,1.0,1,56.0,0.6,6,26.2
3,2,2,12,0.0,2,0.62,1.0,0,56.0,0.6,6,26.2
3,2,2,12,0.0,2,0.62,1.0,0,56.0,0.6,6,26.2
3,2,2,12,-2.0,2,0.68,1.0,2,56.0,0.6,6,26.2
3,2,2,12,-1.0,2,0.62,1.0,2,56.0,0.6,6,26.2
3,2,2,12,0.0,2,0.62,1.0,0,56.0,0.6,6,26.2
3,2,2,12,0.0,2,0.62,1.0,0,56.0,0.6,6,26.2
3,2,2,12,-1.0,2,0.75,1.0,2,55.0,0.22,6,27.9
3,2,2,12,-1.0,2,0.64,1.0,2,55.0,0.22,6,27.9
3,2,2,12,-1.0,2,0.66,1.0,0,55.0,0.22,6,27.9
3,2,2,12,-1.0,2,0.51,2.0,2,55.0,0.22,6,27.9
3,2,2,12,-1.0,2,0.69,2.0,0,55.0,0.22,6,27.9
3,2,2,12,0.0,2,0.84,1.0,1,48.0,0.16,6,28.2
3,2,2,12,1.0,2,0.7,1.0,1,48.0,0.16,6,28.2
3,2,2,12,1.0,2,0.7,1.0,1,48.0,0.16,6,28.2
3,2,2,12,-2.0,2,0.7,1.0,2,48.0,0.16,6,28.2
3,2,2,12,2.0,2,0.7,1.0,1,48.0,0.16,6,28.2
3,2,2,12,3.0,2,0.77,1.0,1,48.0,0.16,6,28.2
3,2,2,12,0.0,2,0.7,1.0,1,47.0,0.25,6,26.7
3,2,2,12,3.0,2,0.7,1.0,1,47.0,0.25,6,26.7
3,2,2,12,0.0,2,0.64,1.0,1,47.0,0.25,6,26.7
3,2,2,12,0.0,2,0.64,1.0,1,47.0,0.25,6,26.7
3,2,2,12,0.0,2,0.66,1.0,0,47.0,0.25,6,26.7
3,2,2,12,2.0,2,0.73,1.0,1,51.0,0.1,6,27.4
3,2,2,12,0.0,2,0.62,1.0,1,52.0,0.16,6,27.1
3,2,2,12,0.0,2,0.62,1.0,1,53.0,0.03,6,26.8
3,2,2,12,-1.0,2,0.68,1.0,2,53.0,0.03,6,26.8
3,2,2,12,0.0,2,0.68,1.0,0,53.0,0.03,6,26.8
3,2,2,12,0.0,2,0.73,1.0,0,55.0,0.11,6,27.1
3,2,2,12,-1.0,2,0.68,1.0,2,55.0,0.11,6,27.1
3,2,2,12,1.0,2,0.62,1.0,1,66.0,0.16,6,25.8
3,2,2,12,-2.0,2,0.62,1.0,0,66.0,0.16,6,25.8
3,2,2,12,-1.0,2,0.62,1.0,0,66.0,0.16,6,25.8
3,2,2,12,-1.0,2,0.62,1.0,0,66.0,0.16,6,25.8
3,2,2,12,0.0,2,0.62,1.0,2,66.0,0.16,6,25.8
3,2,2,12,1.0,2,0.75,1.0,0,47.0,0.08,6,25.7
3,2,2,12,1.0,2,0.64,1.0,1,47.0,0.08,6,25.7
3,2,2,12,0.0,2,0.64,1.0,0,47.0,0.08,6,25.7
3,2,2,12,0.0,2,0.64,1.0,0,47.0,0.08,6,25.7
3,2,2,12,-2.0,2,0.75,1.0,2,46.0,0.02,6,24.6
3,2,2,12,-2.0,2,0.84,1.0,2,46.0,0.02,6,24.6
3,2,2,12,-1.0,2,0.62,1.0,0,46.0,0.02,6,24.6
3,2,2,12,-1.0,2,0.64,1.0,2,46.0,0.02,6,24.6
3,2,2,12,-2.0,2,0.97,1.0,2,59.0,1.3,6,28.8
3,2,2,12,3.0,2,0.72,1.0,1,59.0,1.3,6,28.8
